"","theme","comparison","pwa_difference","bootstrap_se","bootstrap_me","lb","ub","significant","pvalue"
"1","violence","A-C",-0.0545441492800902,0.0138200448977644,0.02940968068091,-0.0839538299610002,-0.0251344685991802,1,7.92219009246864e-05
"2","violence","A-H",0.011982804614942,0.0155043747137273,0.0329940107185656,-0.0210112061036236,0.0449768153335076,0,0.439601667481981
"3","violence","C-H",0.0665269538950322,0.0157051959969018,0.033421367493148,0.0331055864018842,0.0999483213881802,1,2.27553307616812e-05
"4","passivity","A-C",0.00344415503918198,0.0161805626102914,0.0344329691492624,-0.0309888141100804,0.0378771241884443,0,0.831438067763683
"5","passivity","A-H",0.0509713816915634,0.0161422627474293,0.0343514653086287,0.0166199163829347,0.0853228470001921,1,0.00159054305324791
"6","passivity","C-H",0.0475272266523814,0.0168606491957529,0.0358802241662868,0.0116470024860946,0.0834074508186682,1,0.00481997246346944
"7","nonadherence","A-C",0.00918999187118484,0.0286697445302863,0.0610105132129768,-0.0518205213417919,0.0702005050841616,0,0.74855393822547
"8","nonadherence","A-H",0.0256497889535391,0.0318407280997117,0.0677585096855714,-0.0421087207320323,0.0934082986391105,0,0.420493481079457
"9","nonadherence","C-H",0.0164597970823543,0.0355673579803296,0.0756889466425917,-0.0592291495602374,0.092148743724946,0,0.643523375312313
"10","noncompliance","A-C",0.0557495349928908,0.0287464071726259,0.0611736547836476,-0.00542411979075679,0.116923189776538,0,0.0524579291293097
"11","noncompliance","A-H",0.110397667203041,0.0301388681987983,0.0641368748341821,0.0462607923688589,0.174534542037223,1,0.000249311068832858
"12","noncompliance","C-H",0.0546481322101499,0.0327262582132229,0.0696429578233562,-0.0149948256132063,0.124291090033506,0,0.0949478964183701
"13","noncompli_nonadher","A-C",0.0323802946802017,0.024362459027408,0.0518444148263025,-0.0194641201461008,0.0842247095065042,0,0.183812944024751
"14","noncompli_nonadher","A-H",0.0708847457427979,0.026946365997285,0.0573430857391267,0.0135416600036713,0.128227831481925,1,0.00852376832317669
"15","noncompli_nonadher","C-H",0.0385044510625962,0.0287231505503694,0.0611241636394914,-0.0226197125768952,0.0996286147020876,0,0.180070767129804
"16","describe_patient","A-C",-0.0124021866156408,0.0156307981652189,0.0332630455420015,-0.0456652321576423,0.0208608589263607,0,0.427518304728272
"17","describe_patient","A-H",0.0424207624546632,0.02156012652757,0.0458809245054206,-0.00346016205075739,0.0883016869600838,0,0.0491191137620415
"18","describe_patient","C-H",0.054822949070304,0.0203663385429003,0.0433404896740169,0.0114824593962871,0.0981634387443209,1,0.00710587721710998
