"","base_word","target_word","lb","significance","ub","avg","midpt"
"1","african_american","aggression",0.874,0,1.023,0.959102062182501,0.9485
"2","african_american","aggressive",0.99,0,1.079,1.05385974366218,1.0345
"3","african_american","aggressively",1.042,1,1.163,1.07992977332324,1.1025
"4","african_american","aggressiveness",0.936,0,1.094,1.05396875957958,1.015
"5","african_american","agitate",0.856,0,1.055,0.933977002091706,0.9555
"6","african_american","agitated",0.874,1,0.974,0.928417109511793,0.924
"7","african_american","agitation",0.924,0,1.026,0.945909145101905,0.975
"8","african_american","anger",0.952,0,1.093,0.979241595155327,1.0225
"9","african_american","angrily",0.907,0,1.047,0.925333161838353,0.977
"10","african_american","angry",0.88,1,0.995,1.02168395540793,0.9375
"11","african_american","challenged",0.872,0,1.009,0.921026888862252,0.9405
"12","african_american","challenges",0.923,0,1.035,0.974869258550461,0.979
"13","african_american","challenging",0.888,1,0.982,0.987699491868261,0.935
"14","african_american","combative",0.85,1,0.969,0.922918225452304,0.9095
"15","african_american","combativeness",0.877,0,1.029,0.955348225403577,0.953
"16","african_american","confront",0.872,0,1.008,0.959294774127193,0.94
"17","african_american","confrontation",0.906,0,1.031,0.95759176411666,0.9685
"18","african_american","confrontational",0.869,0,1.058,0.885573798790574,0.9635
"19","african_american","confronted",0.844,0,1.014,0.967417479597498,0.929
"20","african_american","confronting",0.967,0,1.107,0.96002280912362,1.037
"21","african_american","defensive",0.931,0,1.067,1.02163310614415,0.999
"22","african_american","defensiveness",0.907,0,1.071,0.994069212599425,0.989
"23","african_american","non_adherence",0.939,0,1.122,1.03980193583993,1.0305
"24","african_american","non_adherent",0.913,0,1.019,0.936553383705905,0.966
"25","african_american","non_compliance",0.859,0,1.013,0.985511583695188,0.936
"26","african_american","non_compliant",0.905,0,1.036,0.971588997147046,0.9705
"27","african_american","nonadherence",0.881,0,1.006,0.913418974727392,0.9435
"28","african_american","nonadherent",0.901,0,1.064,1.00801733710396,0.9825
"29","african_american","noncompliance",0.837,1,0.98,0.932427938887849,0.9085
"30","african_american","noncompliant",0.815,1,0.968,0.90312739815563,0.8915
"31","african_american","noncooperative",0.813,1,0.936,0.933243337925523,0.8745
"32","african_american","resist",0.978,0,1.104,1.0751138234511,1.041
"33","african_american","resistance",0.949,0,1.077,1.02116251850966,1.013
"34","african_american","resistances",0.95,0,1.087,1.06893782820553,1.0185
"35","african_american","resistant",0.896,1,0.984,0.946711669210345,0.94
"36","african_american","resisted",0.982,0,1.103,1.05975761869922,1.0425
"37","african_american","resisting",0.905,0,1.046,1.00939258891449,0.9755
"38","african_american","resists",0.933,0,1.057,0.94038550198311,0.995
"39","african_american","unpleasant",0.895,0,1.032,0.957248767325655,0.9635
"40","caucasian","aggression",0.81,1,0.949,0.880004223622382,0.8795
"41","caucasian","aggressive",1.05,1,1.139,1.10705657564104,1.0945
"42","caucasian","aggressively",1.064,1,1.173,1.07190863168798,1.1185
"43","caucasian","aggressiveness",0.906,0,1.063,0.986402943031862,0.9845
"44","caucasian","agitate",0.832,1,0.993,0.9114292120561,0.9125
"45","caucasian","agitated",0.775,1,0.893,0.844872078672051,0.834
"46","caucasian","agitation",0.874,1,0.966,0.868350264057517,0.92
"47","caucasian","anger",0.839,1,0.991,0.862972303852439,0.915
"48","caucasian","angrily",0.826,0,1.021,0.847371203452349,0.9235
"49","caucasian","angry",0.792,1,0.925,0.896787531673908,0.8585
"50","caucasian","challenged",0.891,0,1.007,0.90117469727993,0.949
"51","caucasian","challenges",0.839,1,0.988,0.92883483953774,0.9135
"52","caucasian","challenging",0.927,0,1.042,1.03748480714858,0.9845
"53","caucasian","combative",0.795,1,0.928,0.828024847060442,0.8615
"54","caucasian","combativeness",0.834,0,1.027,0.855285002291203,0.9305
"55","caucasian","confront",0.863,0,1.004,0.894211269915104,0.9335
"56","caucasian","confrontation",0.918,0,1.046,0.961322818917688,0.982
"57","caucasian","confrontational",0.809,1,0.996,0.884418829903007,0.9025
"58","caucasian","confronted",0.789,1,0.978,0.90362161938101,0.8835
"59","caucasian","confronting",0.978,0,1.106,0.98306058915332,1.042
"60","caucasian","defensive",0.886,0,1.038,0.990851992904209,0.962
"61","caucasian","defensiveness",0.88,0,1.001,0.944536062469706,0.9405
"62","caucasian","non_adherence",0.946,0,1.123,1.12387592084706,1.0345
"63","caucasian","non_adherent",0.917,0,1.043,0.958489704458043,0.98
"64","caucasian","non_compliance",0.9,0,1.073,1.03109531700611,0.9865
"65","caucasian","non_compliant",0.913,0,1.035,0.95420624606777,0.974
"66","caucasian","nonadherence",0.843,1,0.978,0.916632098332048,0.9105
"67","caucasian","nonadherent",0.954,0,1.092,1.02752158122603,1.023
"68","caucasian","noncompliance",0.838,1,0.965,0.912742926925421,0.9015
"69","caucasian","noncompliant",0.896,0,1.02,0.935690142400563,0.958
"70","caucasian","noncooperative",0.784,1,0.919,0.860123857110739,0.8515
"71","caucasian","resist",0.883,0,1.089,0.95870776202064,0.986
"72","caucasian","resistance",0.92,0,1.022,0.9315495043993,0.971
"73","caucasian","resistances",0.907,0,1.05,0.933097082842141,0.9785
"74","caucasian","resistant",0.952,0,1.046,0.96104146479629,0.999
"75","caucasian","resisted",0.942,0,1.095,0.975371133929002,1.0185
"76","caucasian","resisting",0.869,1,0.995,0.905457408353686,0.932
"77","caucasian","resists",0.877,0,1.061,0.919527015835047,0.969
"78","caucasian","unpleasant",0.839,0,1.012,0.976312846969813,0.9255
"79","hispanic","aggression",0.811,1,0.98,0.93905881854007,0.8955
"80","hispanic","aggressive",1.038,1,1.14,1.10793885942549,1.089
"81","hispanic","aggressively",1.03,1,1.157,1.06199469282292,1.0935
"82","hispanic","aggressiveness",0.923,0,1.096,1.05691046469728,1.0095
"83","hispanic","agitate",0.919,0,1.114,1.09094301555306,1.0165
"84","hispanic","agitated",0.917,0,1.023,0.986971401551273,0.97
"85","hispanic","agitation",0.91,1,0.999,0.971817571762949,0.9545
"86","hispanic","anger",0.866,0,1.012,0.911383987404406,0.939
"87","hispanic","angrily",0.881,0,1.071,0.998793630755972,0.976
"88","hispanic","angry",0.909,0,1.026,0.992178264987888,0.9675
"89","hispanic","challenged",0.987,0,1.113,1.05684236594243,1.05
"90","hispanic","challenges",0.895,0,1.011,0.948796253697947,0.953
"91","hispanic","challenging",0.934,0,1.055,0.979493960109539,0.9945
"92","hispanic","combative",0.888,1,1,0.970022900274489,0.944
"93","hispanic","combativeness",0.89,0,1.089,0.980654618609697,0.9895
"94","hispanic","confront",0.909,0,1.127,1.0935640078038,1.018
"95","hispanic","confrontation",0.958,0,1.092,1.07849614154547,1.025
"96","hispanic","confrontational",0.882,0,1.044,0.983028176636435,0.963
"97","hispanic","confronted",0.831,0,1.08,1.0173090412216,0.9555
"98","hispanic","confronting",0.951,0,1.129,0.941104436886963,1.04
"99","hispanic","defensive",0.915,0,1.106,0.969071325234472,1.0105
"100","hispanic","defensiveness",0.949,0,1.057,1.02394610039773,1.003
"101","hispanic","non_adherence",0.935,0,1.071,1.03028540795203,1.003
"102","hispanic","non_adherent",0.883,1,0.986,0.986300920868234,0.9345
"103","hispanic","non_compliance",0.937,0,1.116,1.02624553710921,1.0265
"104","hispanic","non_compliant",0.965,0,1.133,1.05826742136851,1.049
"105","hispanic","nonadherence",0.853,0,1.006,0.985822405290673,0.9295
"106","hispanic","nonadherent",0.981,0,1.132,1.1218054998666,1.0565
"107","hispanic","noncompliance",0.858,0,1.006,0.973507692769635,0.932
"108","hispanic","noncompliant",0.918,0,1.067,0.99296261924901,0.9925
"109","hispanic","noncooperative",0.85,0,1.001,0.895029136352241,0.9255
"110","hispanic","resist",0.966,0,1.124,1.02740897094482,1.045
"111","hispanic","resistance",0.971,0,1.077,1.02674932383234,1.024
"112","hispanic","resistances",0.926,0,1.083,0.982621670939261,1.0045
"113","hispanic","resistant",0.922,0,1.03,0.9754834138148,0.976
"114","hispanic","resisted",0.992,0,1.114,1.02436198075011,1.053
"115","hispanic","resisting",0.958,0,1.106,1.04466661387123,1.032
"116","hispanic","resists",0.925,0,1.109,1.04511865526147,1.017
"117","hispanic","unpleasant",0.903,0,1.051,0.964220114526688,0.977
